INFO 2023-04-14 12:20:25,301 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 12:20:26,744 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 16:19:27,067 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 16:19:29,008 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 16:21:05,128 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 16:21:06,327 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 16:27:54,491 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 16:27:55,914 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 16:29:05,415 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 16:29:06,616 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 16:30:11,684 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 16:30:12,876 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 16:30:39,383 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 16:30:40,825 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 16:31:12,160 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 16:31:13,492 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 17:39:36,863 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 17:39:38,310 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 17:42:27,748 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 17:42:29,261 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 17:44:05,781 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
